Optimising with Parameters: 
 sparsity: 10.0| reg_C: 1.0| reg_W: 1.0| trad: 1.0
 At iteration0|| Error:array([39310.605], dtype=float32)
At B iteration 0|| Error:array([12919.085], dtype=float32)

At B iteration 1|| Error:array([12918.501], dtype=float32)

At B iteration 2|| Error:array([12917.919], dtype=float32)

At B iteration 3|| Error:array([12917.343], dtype=float32)

At B iteration 4|| Error:array([12916.7705], dtype=float32)

At B iteration 5|| Error:array([12916.206], dtype=float32)

At B iteration 6|| Error:array([12915.644], dtype=float32)

At B iteration 7|| Error:array([12915.085], dtype=float32)

At B iteration 8|| Error:array([12914.536], dtype=float32)

At B iteration 9|| Error:array([12913.991], dtype=float32)

At B iteration 10|| Error:array([12913.446], dtype=float32)

At B iteration 11|| Error:array([12912.909], dtype=float32)

At B iteration 12|| Error:array([12912.378], dtype=float32)

At B iteration 13|| Error:array([12911.8545], dtype=float32)

At B iteration 14|| Error:array([12911.331], dtype=float32)

At B iteration 15|| Error:array([12910.813], dtype=float32)

At B iteration 16|| Error:array([12910.3], dtype=float32)

At B iteration 17|| Error:array([12909.794], dtype=float32)

At B iteration 18|| Error:array([12909.288], dtype=float32)

At B iteration 19|| Error:array([12908.79], dtype=float32)

At B iteration 20|| Error:array([12908.296], dtype=float32)

At B iteration 21|| Error:array([12907.806], dtype=float32)

At B iteration 22|| Error:array([12907.319], dtype=float32)

At B iteration 23|| Error:array([12906.837], dtype=float32)

At B iteration 24|| Error:array([12906.358], dtype=float32)

At B iteration 25|| Error:array([12905.888], dtype=float32)

At B iteration 26|| Error:array([12905.419], dtype=float32)

At B iteration 27|| Error:array([12904.952], dtype=float32)

At B iteration 28|| Error:array([12904.491], dtype=float32)

At B iteration 29|| Error:array([12904.036], dtype=float32)

At B iteration 30|| Error:array([12903.583], dtype=float32)

At B iteration 31|| Error:array([12903.134], dtype=float32)

At B iteration 32|| Error:array([12902.69], dtype=float32)

At B iteration 33|| Error:array([12902.249], dtype=float32)

At B iteration 34|| Error:array([12901.815], dtype=float32)

At B iteration 35|| Error:array([12901.382], dtype=float32)

At B iteration 36|| Error:array([12900.95], dtype=float32)

At B iteration 37|| Error:array([12900.526], dtype=float32)

At B iteration 38|| Error:array([12900.1045], dtype=float32)

At B iteration 39|| Error:array([12899.685], dtype=float32)

At B iteration 40|| Error:array([12899.272], dtype=float32)

At B iteration 41|| Error:array([12898.86], dtype=float32)

At B iteration 42|| Error:array([12898.454], dtype=float32)

At B iteration 43|| Error:array([12898.052], dtype=float32)

At B iteration 44|| Error:array([12897.651], dtype=float32)

At B iteration 45|| Error:array([12897.255], dtype=float32)

At B iteration 46|| Error:array([12896.862], dtype=float32)

At B iteration 47|| Error:array([12896.472], dtype=float32)

At B iteration 48|| Error:array([12896.089], dtype=float32)

At B iteration 49|| Error:array([12895.704], dtype=float32)

At B iteration 50|| Error:array([12895.323], dtype=float32)

At B iteration 51|| Error:array([12894.946], dtype=float32)

At B iteration 52|| Error:array([12894.577], dtype=float32)

At B iteration 53|| Error:array([12894.208], dtype=float32)

At B iteration 54|| Error:array([12893.841], dtype=float32)

At B iteration 55|| Error:array([12893.478], dtype=float32)

At B iteration 56|| Error:array([12893.118], dtype=float32)

At B iteration 57|| Error:array([12892.761], dtype=float32)

At B iteration 58|| Error:array([12892.405], dtype=float32)

At B iteration 59|| Error:array([12892.056], dtype=float32)

At B iteration 60|| Error:array([12891.708], dtype=float32)

At B iteration 61|| Error:array([12891.36], dtype=float32)

At B iteration 62|| Error:array([12891.022], dtype=float32)

At B iteration 63|| Error:array([12890.683], dtype=float32)

At B iteration 64|| Error:array([12890.347], dtype=float32)

At B iteration 65|| Error:array([12890.015], dtype=float32)

At B iteration 66|| Error:array([12889.685], dtype=float32)

At B iteration 67|| Error:array([12889.358], dtype=float32)

At B iteration 68|| Error:array([12889.032], dtype=float32)

At B iteration 69|| Error:array([12888.712], dtype=float32)

At B iteration 70|| Error:array([12888.39], dtype=float32)

At B iteration 71|| Error:array([12888.073], dtype=float32)

At B iteration 72|| Error:array([12887.763], dtype=float32)

At B iteration 73|| Error:array([12887.452], dtype=float32)

At B iteration 74|| Error:array([12887.144], dtype=float32)

At B iteration 75|| Error:array([12886.839], dtype=float32)

At B iteration 76|| Error:array([12886.534], dtype=float32)

At B iteration 77|| Error:array([12886.233], dtype=float32)

At B iteration 78|| Error:array([12885.937], dtype=float32)

At B iteration 79|| Error:array([12885.644], dtype=float32)

At B iteration 80|| Error:array([12885.351], dtype=float32)

At B iteration 81|| Error:array([12885.06], dtype=float32)

At B iteration 82|| Error:array([12884.772], dtype=float32)

At B iteration 83|| Error:array([12884.485], dtype=float32)

At B iteration 84|| Error:array([12884.204], dtype=float32)

At B iteration 85|| Error:array([12883.921], dtype=float32)

At B iteration 86|| Error:array([12883.6455], dtype=float32)

At B iteration 87|| Error:array([12883.366], dtype=float32)

At B iteration 88|| Error:array([12883.097], dtype=float32)

At B iteration 89|| Error:array([12882.827], dtype=float32)

At B iteration 90|| Error:array([12882.556], dtype=float32)

At B iteration 91|| Error:array([12882.288], dtype=float32)

At B iteration 92|| Error:array([12882.024], dtype=float32)

At B iteration 93|| Error:array([12881.763], dtype=float32)

At B iteration 94|| Error:array([12881.501], dtype=float32)

At B iteration 95|| Error:array([12881.243], dtype=float32)

At B iteration 96|| Error:array([12880.991], dtype=float32)

At B iteration 97|| Error:array([12880.737], dtype=float32)

At B iteration 98|| Error:array([12880.485], dtype=float32)

At B iteration 99|| Error:array([12880.237], dtype=float32)

 At final B iteration || Error: array([12880.237], dtype=float32)
Optimise C and weights 

 Step W || Error: array([11997.281], dtype=float32)

Patient 0 Optimised 

Patient 1 Optimised 

Patient 2 Optimised 

Patient 3 Optimised 

Patient 4 Optimised 

Patient 5 Optimised 

Patient 6 Optimised 

Patient 7 Optimised 

Patient 8 Optimised 

Patient 9 Optimised 

Patient 10 Optimised 

Patient 11 Optimised 

